slovenja,title,Slovenja
pesmi,genre,pesmi
priloznostne_pesmi,genre,priloznostne pesmi
jovan_vesel_koseski,author,Jovan Vesel Koseski
france_preseren,author,France Prešeren
poezije,title,Poezije
kons_abc,title,Kons: ABC
integrali_26,title,Integrali 26
kosovel,author,Srečko Kosovel
jesensko_tiho,title,Jesensko tiho
kons_macka,title,Kons: mačka
evakuacija_duha,title,Evakuacija duha
prostituirana_kultura,title,Prostituirana kultura
pred_kapitulacijami,title,Pred kapitulacijami
misticna_luc_teorije,title,Mistična luč teorije
admiral,title,Admiral
odprite_muzeje,title,Odprite muzeje!
sonce_se_smeje,title,Sonce se smeje
ranocelnikom,title,Ranocelnikom
na_piramidi,title,Na piramidi
moj_crni_tintnik,title,Moj črni tintnik
integrali,title,Integrali
jaz_protestiram,title,Jaz protestiram
sonetni_venec,title,Sonetni venec
pesmi_z_akrostihom,category,pesmi z akrostihom
sonetni_venci,genre,sonetni venci
nad_norisnico,title,Nad norišnico
prosto_srce,title,Prosto srce
apel_podobo_na_ogled_postavi,title,Apel podobo na ogled postavi
jernej_kopitar,author,Jernej Kopitar
soci,title,Soči
simon_gregorcic,author,Simon Gregorčič
gregorcic,author,Simon Gregorčič
soldaska,title,Soldaška
mornar,title,Mornar
kam,title,Kam?
delak,author,Ferdo Delak
uvod_krst_pri_savici,title,Uvod (Krst pri Savici)
strunam,title,Strunam
dekletam,title,Dekletam
pod_oknam,title,Pod oknam
prosnja,title,Prošnja
ukazi,title,Ukazi
k_slovesu,title,K slovesu
sila_spomina,title,Sila spomina
zgubljena_vera,title,Zgubljena vera
v_spomin_valentina_vodnika,title,V spomin Valentina Vodnika
valentin_vodnik,author,Valentin Vodnik
v_spomin_andreja_smoleta,title,V spomin Andreja Smoleta
andrej_smole,author,Andrej Smole
od_zelezne_ceste,title,Od železne ceste
zapusena,title,Zapušena
nezakonska_mati,title,Nezakonska mati
pevcu,title,Pevcu
hcere_svet,title,Hčere svet
ucenec,title,Učenec
dohtar,title,Dohtar
besedilne_variante,category,besedilne variante
turjaska_rozamunda,title,Turjaška Rozamunda
judovsko_dekle,title,Judovsko dekle
zdravilo_ljubezni,title,Zdravilo ljubezni
matiju_copu,title,Matiju Čopu
matija_cop,category,Matija Cop
krst_pri_savici,title,Krst pri Savici
epska_pesnitev,genre,epska pesnitev
neiztrohnjeno_srce,title,Neiztrohnjeno srce
vzrok_nezlatega_veka,title,Vzrok nezlatega veka
novi_pegazus,title,Novi Pegazus
slovo_od_mladosti,title,Slovo od mladosti
glosa,title,Glosa
glose,genre,glose
pesem_moja_je_posoda_tvojega_imena,title,Pesem moja je posoda tvojega imena
zalostna_komu_neznana_je_resnica_de_jo_ljubim,title,"Žalostna komú neznana je resnica, de jo ljubim"
kdor_jih_bere_vsak_drugaci_pesmi_moje_sodi,title,"Kdor jih bere, vsak drugači pesmi moje sodi"
krst,title,Krst
pesmi_srecko_kosovel_2,title,"Pesmi (Srečko Kosovel, 2)"
srecko_kosovel,author,Srečko Kosovel
pesem_srecko_kosovel_1,title,"Pesem (Srečko Kosovel, 1)"
kraska_vas,title,Kraška vas
i,category,i
zbrano_delo,title,Zbrano delo
temni_bori,title,Temni bori
ciklame,title,Ciklame
pa_da_bi_znal,title,Pa da bi znal
kons_5,title,Kons. 5
iz_rosnega_mraka,title,Iz rosnega mraka
skica_na_koncertu,title,Skica na koncertu
crni_zidovi,title,Črni zidovi
pot_skozi_izgorevajoci_gozd,title,Pot skozi izgorevajoči gozd
vozil_sem_se,title,Vozil sem se
prekop,title,Prekop
ribic,title,Ribič
zenska_zvestoba,title,Ženska zvestoba
razpolozenje,title,Razpoloženje
oktober_1,title,Oktober (1)
premisljevanje,title,Premišljevanje
na_tecaju_mrtvih,title,Na tečaju mrtvih
ecce_homo,title,Ecce homo
nebo_nebo,title,"Nebo, nebo"
pesmi_in_romance,title,Pesmi in romance
v_parku_josip_murn_1,title,"V parku (Josip Murn, 1)"
na_trgu,title,Na trgu
dragotin_kette,author,Dragotin Kette
