doc_index	title	categories
240	Sosedov sin	besedilne_variante, slovenska_knjizevnost
295	Simon Gregorčič	slovenski_avtorji, slovenski_duhovniki
471	Od lepe Vide	nezbrano_delo_franceta_preserna, slovenska_knjizevnost
472	Primož Trubar	slovenski_avtorji, slovenski_duhovniki
539	Seznam slovenskih pravljic	seznami, slovenske_ljudske_pravljice
558	Jurij Dalmatin	slovenski_avtorji, slovenski_duhovniki
559	Jurij Japelj	slovenski_avtorji, slovenski_duhovniki
560	Jurij Volc	slovenski_avtorji, slovenski_duhovniki
625	Borovo gostüvanje	dela_v_prekmurscini, prekmurje, pustne_prireditve
658	Slovenske večernice	slovenska_knjizevnost, zgodovinski_romani
673	Viženčar	dela_leta_1881, planinska_povest
677	Zofka Kveder	avtorice, slovenski_avtorji
683	Obschon die Lieder aus dem Vaterlande	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
684	Ihr, die entsprossen aus dem Slawenstamme	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
685	Der Seemann	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
686	Die Macht der Erinn'rung	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
687	Der verlor'ne Glaube	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
688	Die Wiederbestattung	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
689	Dem Andenken des Matthias Čop	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
691	Warum sie, wert, daß Sänger aller Zungen	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
692	Der Frühling kommt aus Auen, Bergen, Flüssen	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
693	Wie der, dem alles, was er mitgenommen	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
694	Wie brünstig sehnt sich, wer an dunkler Stelle	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
695	Wohl groß war, Toggenburg! mein Schmerzgeselle	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
696	Aufthun wird sich, wenn da Gericht vollendet	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
697	Nichts trägt an ihm des Dichtergeists Gepräge	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
700	An die Mädchen	dela_v_nemscini, nezbrane_nemske_pesmi
702	Relata refero	dela_v_nemscini, nezbrane_nemske_pesmi
703	Literärische Scherze in August v. Schlegel's Manier	dela_v_nemscini, nezbrane_nemske_pesmi
704	In Meeres Tiefen, auf der Erde Fluren	dela_v_nemscini, nezbrane_nemske_pesmi
705	Du staunst, mein Freund! und fragst, woher und wie es kam	dela_v_nemscini, nezbrane_nemske_pesmi
706	Ihr hörtet von der Zwerge argem Sinnen	dela_v_nemscini, nezbrane_nemske_pesmi
707	An Pauschek und Stelzich	dela_v_nemscini, nezbrane_nemske_pesmi
708	In Laibach, der Slowennen Stadt, geboren	dela_v_nemscini, nezbrane_nemske_pesmi
709	Toast	dela_v_nemscini, nezbrane_nemske_pesmi
710	Wohin?	dela_v_nemscini, nezbrane_nemske_pesmi
711	Das freie Herz	dela_v_nemscini, nezbrane_nemske_pesmi
712	Den Schönen Laibachs	dela_v_nemscini, nezbrane_nemske_pesmi
