key,doc_count
Vera Albreht,418
France Prešeren,413
Srečko Kosovel,354
Neža Maurer,245
Miran Jarc,208
Ivan Cankar,207
anonimni avtor,158
Anton Medved,158
Simon Gregorčič,153
Lojze Grozde,131
Karel Destovnik Kajuh,118
Dragotin Kette,116
Fran Milčinski,115
Poezija NOB,114
Tomaž Šalamun,111
Rado Murnik,95
Slovenska Talija,89
Rudolf Maister,87
Vladimir Levstik,78
Zoran Božič,77
Zofka Kveder,74
Josip Jurčič,65
Cvetko Golar,63
Jožef Mihelič,62
Mladinska Proza,53
Fran Levstik,52
Anton Aškerc,51
Ivan Tavčar,46
Fran Saleški Finžgar,46
Janko Kersnik,44
France Bevk,44
Zakaj? Zato!,42
Črtomir Šinkovec,42
Valentin Orožen,41
Josip Vandot,41
Jovan Vesel Koseski,38
Peter Svetina,38
Josip Cimperman,37
Anica Černej,37
Janez Bilc,36
Josip Murn,35
Fran Zakrajšek,35
Matija Valjavec,34
Igo Gruden,34
Joka Žigon,34
Anica Žemlja,33
Severin Šali,32
Franc Ksaver Meško,32
Ivan Albreht,32
Anton Koder,30
Valentin Vodnik,29
Josip Stritar,29
Ivan Pregelj,29
Mihael Ambrož,29
Primož Trubar,28
Alojzij Kokalj,28
Pavlina Pajk,27
Janez Trdina,26
Pisma Franceta Prešerna,26
Fran Detela,26
Svetlana Makarovič,26
Ferdo Delak,26
Simon Jenko,25
Miroslav Malovrh,25
Ivan Lah,25
Josip Kostanjevec,25
Josip Premk,25
Ada Negri,25
Jurij Dalmatin,24
Fran Erjavec,24
Ana Gale,24
Slovenski narod,24
Fran Zbašnik,23
Anton Umek,23
Joža Lovrenčič,23
Barbara Gregorič Gorenc,22
Milan Pugelj,22
Miha Kastelic,22
Jože Urbanija,22
Fran Roš,22
Alojzij Merhar,22
Anton Adamič,22
Lea Fatur,21
Ivan Molek,21
Janez Jelen,21
Jakob Alešovec,20
Fran Govekar,20
Krajnska čbelica,20
Mlado Jutro,20
Andrej Kokot,19
Fran Jaklič,18
Fran Kocbek,18
Tone Seliškar,18
Vitomir Feodor Jelenc,18
Katul,18
Jože Zavertnik,17
Peter Bohinjec,16
Stanko Vraz,16
Vladimir Bartol,16
Jože Kranjc,16
Matija Rode,16
Ivo Trošt,15
Ilustrirani glasnik,15
Ivo Česnik,15
Gustav Strniša,15
Valentin Korun,15
Fran Maselj - Podlimbarski,14
nemski avtorji,14
Marija Kmet,14
Ivo Šorli,14
Juš Kozak,14
Amerikanski Slovenec,14
Janko Mlakar,14
Oton Župančič,14
Peter Hitzinger,14
Prežihov Voranc,13
Janez Mencinger,13
Fran Josip Knaflič,13
Anton Funtek,13
Urban Jarnik,13
Anton Stražar,13
Ernest Tiran,13
Slovenske večernice,13
Vilko Mazi,13
Janez Bleiweis,13
France Kozar,13
Josipina Urbančič Turnograjska,12
Robert Simonič,12
Marko Kravos,12
Sonja Koranter,12
Frančišek Ločniškar,12
Božidar Flegerič,12
Damir Feigel,12
Josip Ogrinec,11
Manica Koman,11
Tone Pretnar,11
Ivan Zorec,10
Luiza Pesjak,10
Kralj Matjaž,10
Jože Šerjak,10
Janez Jalen,10
Leopold Lenard,10
Ljudmila Prunk,10
Julij Bučar,10
Mara Tavčar,10
Možbeseda Pedenjped,9
Jožef Žemlja,9
Josip Lavtižar,9
Anton Martin Slomšek,9
Vida Jeraj,9
Tone Čufar,9
Vida Taufer,9
Ivan Podržaj,9
Janez Cigler,8
Valentin Mandelc,8
Matija Malešič,8
Narte Velikonja,8
Kajetan Kovič,8
Niko Grafenauer,8
Lipe Haderlap,8
Fridolin Kaučič,8
Engelbert Gangl,8
Marica Nadlišek Bartol,8
Josip Vošnjak,8
Miran Hladnik,8
Radivoj Peterlin,8
Bratko Kreft,8
Miško Kranjec,8
Josip Suchy,8
Ivan Sergejevič Turgenjev,8
Januš Golec,8
Ivan Rob,8
Josip Podmilšak,7
Jakob Sket,7
France Cegnar,7
Lili Novy,7
Kristina Brenk,7
Janko Barle,7
Franc Malavašič,7
Anton Novačan,7
Ivan Sivec,7
Ferdo Kozak,7
Branko Žužek,7
Andreja Borin,7
Franjo Neubauer,7
Ciril Jeglič,7
Janko Glazer,7
Zvonimir Kosem,7
Pavel Golia,7
Ivan Baloh,7
Gregor Koritnik,7
Anton Mahnič,7
Žiga Laykauf,7
Ana Fabijan,7
Jožef Virk,7
Ivan Hribovšek,7
Ivo Grahor,7
Pisma Franca Pirca,7
Blaž Lukan,6
Gregor Krek,6
Valentin Stanič,6
Pavel Perko,6
Joža Vovk,6
Alojzij Remec,6
Marija Kern,6
Josip Tominšek,6
France Balantič,6
Sebastijan Krelj,6
Mimi Malenšek,6
Žiga Zois,6
Simon Rutar,6
Lojze Golobič,6
Vinko Bitenc,6
Angelo Cerkvenik,6
Alphonse Daudet,6
Jožko Krošelj,6
Fran Albreht,6
Andrej Cizl,6
Aleksander Sergejevič Puškin,6
Franc Fabinc,6
France Filipič,6
Božo Vodušek,6
Arkadij Videmšek,6
Oroslav Caf,6
Primorski list,6
Anton Švigelj,6
Pisma Josipa Murna,5
Vitomil Zupan,5
Milan Dekleva,5
Karol Glaser,5
Valentin Cundrič,5
Ivan Steklasa,5
Anton Ocvirk,5
Branko Rudolf,5
Ignacij Knoblehar,5
Hinko Dolenec,5
Anton Trstenjak,5
Venceslav Winkler,5
Radivoj Rehar,5
Anton Tanc,5
Albin Prepeluh,5
Janko Kessler,5
Fran Bolka,5
Pankracij Gregorc,5
Karl May,5
Makso Šnuderl,5
Rudolf Marn,5
Bogumil Vdovič,5
Gospodična Cizara,5
Vladimir Brezovnik,5
Fran Orožen,5
Milan Resnik,5
Anton Kos,5
Jožef Orel,5
Izidor Cankar,5
Anton Danilo,5
Joža Bekš,5
Ivan Jontez,5
Veronika Deseniška,4
Ivan Tušek,4
Matija Prelesnik,4
Ida Mlakar,4
Slavko Jug,4
Matej Krajnc,4
Vanja Strle,4
Lojze Zupanc,4
Ciril Drekonja,4
Franc Cimperman,4
Ivan Vrhovec,4
Fran Levec,4
Bina Štampe Žmavc,4
Matej Tonejec,4
Slavko Pregl,4
Ivan Štrukelj,4
Alojz Kraigher,4
Ivan Hribar,4
Tomaž Iskra,4
Rajko Perušek,4
pesniška zbirka,4
Slavko Savinšek,4
Emil Adamič,4
France Koblar,4
Franja Trojanšek,4
Marko Simčič,4
Stanko Kociper,4
Mara Stepanova,4
Anton Gaspari,4
Anton Žakelj,4
Lev Nikolajevič Tolstoj,4
Papež Pij IX.,4
Rudolf Golouh,4
Dora Gruden,4
Poljski avtorji,4
Vera Lestan,4
Marica Strnad Cizerlj,4
Vatroslav Holz,4
Fran Lipah,4
Marija Grošelj,4
Oskar Hudales,4
Josip Korban,4
Frančišek Svetličič,4
Ivan Macher,4
Bret Harte,4
A. Š.,4
Josip Ciril Oblak,4
Johannes Frischauf,4
Pisma Otona Trabanta,4
Jurij Kobe,4
Matija Vertovec,4
Marija Erjavec,4
Radovan Hrastov,4
Igor Gruden,4
Henrik Tuma,4
Jože Zupančič,4
I. Zupančič,4
Jernej Levicnik,3
Lepa Vida,3
Davorin Trstenjak,3
Ljubljansko Barje,3
Alojzij Carli,3
Boris Pintar,3
Mirko Kunčič,3
Anton Tomaž Linhart,3
Janja Vidmar,3
Karel Štrekelj,3
Josip Benkovič,3
Alojz Pikel,3
Ferdo Kočevar,3
Etbin Kristan,3
Anton Ingolič,3
Josip Brinar,3
Alojz Ihan,3
Mateja Perpar,3
Babica pripoveduje,3
Dane Zajc,3
Feri Lainšček,3
Janez Menart,3
Slavko Osterc,3
Anton Janežič,3
Primož Kozak,3
Janez Žagar,3
Ludvik Zorzut,3
Slavko Grum,3
Ivan Potrč,3
Jože Kovič,3
August Šenoa,3
Maksim Gorki,3
Arkadij Timofejevič Averčenko,3
Paul Verlaine,3
Leonid Nikolajevič Andrejev,3
Rabindranath Tagore,3
Leopold Turšič,3
Anton Stres,3
Peter Božič,3
Zdravko Ocvirk,3
Papež Leon XIII.,3
Marcela Bole,3
Boris Rihteršič,3
Ivan Vuk,3
Jurij Kosmač,3
Jakob Zupan,3
Pavel Brežnik,3
Anton Sovre,3
Oskar Kamenšek,3
Papež Evgen IV.,3
Ludvik XVI. Francoski,3
Viktor Eržen,3
