key,doc_count
pesmi,2021
kratka proza,1273
podlistki,910
kratka zgodba,279
povesti,161
poezija za otroke,140
proza,123
soneti,108
osebnoizpovedne pesmi,108
romani,91
rokopisi,66
drame,56
slovenska mladinska knjizevnost,53
zgodovinski romani,46
mladinska poezija,41
osebnoizpovedna poezija,41
kmecke povesti,36
zgodovinske povesti,29
epska pesnitev,27
priloznostne pesmi,25
nemske pesmi,23
biografije,17
slovenske ljudske pravljice,15
pesmi za otroke,13
papeske bule,12
publicistika,12
kriminalni romani,11
uganke za otroke,10
literarne kritike,9
nekrologi,9
slovenske pravljice,9
ljudske pesmi,9
krscanske molitve,7
poezija za malcke,7
eseji,6
humoreske,6
ljudsko besedilo,6
proza za otroke,6
sonetni venci,5
parodije,5
slovenske kratke pravljice,5
folklorna povest,5
poezija v prozi,5
dramatika za otroke,5
clanki,4
srednje dolga proza,4
vecerniska povest,4
dnevniki,3
romance,3
pridige,3
himne,3
prirocniki,3
ljubezen,3
poezija za mladino,3
bajke,2
avtobiografije,2
alpska poskocnica,2
ljudske pravljice,2
kronika,2
pokrajinska povest,2
ljubezenska povest,2
priredbe,2
koncilski odloki,2
taboriscna poezija,2
poezije za otroke,2
kolportazni romani,2
prepesnitve,1
elegije,1
balade,1
legendarne pesmi,1
enodejanke,1
slovenske ljudske pesmi,1
kratke slovenske sodobne pravljice,1
ljudske pripovedi,1
prilike in povesti,1
roparska povest,1
mladinske pripovedi,1
operete,1
detektivski romani,1
strip,1
jubilejni clanki,1
tragedije,1
papeske okroznice,1
parabola,1
slovenske vecernice,1
propagandne brosure,1
utopija,1
piratske povesti,1
feljtonski romani,1
ljudske igre,1
igra s petjem,1
mladinska proza,1
proza za mladino,1
proza z otroke,1
tragikomedije,1
ocene,1
proza za odrasle,1
zgodovinske novele,1
crna kronika,1
crtica,1
kritike,1
zgodovinska povest,1
podlistek,1
potopisna novela,1
lutkovna igra,1
zaloigra,1
partizanski romani,1
travestije,1
ljudska povest,1
satira,1
avtobiografski roman,1
distopije,1
pokrajinske povesti,1
