key,doc_count
1904,155
1903,131
1910,128
1921,128
1919,120
1848,110
1907,107
1930,106
1908,104
1914,103
1912,102
1922,100
1923,96
1909,87
1911,86
1906,85
1901,83
1873,81
1931,79
1892,77
1934,76
1850,76
1905,74
1920,72
1895,70
1849,70
1896,68
1929,67
1926,62
1943,60
1897,59
1902,58
1900,57
1940,57
1851,55
1891,53
1932,52
1889,51
1928,51
1898,50
1899,50
1924,46
1925,46
1938,46
1584,46
1933,44
1876,41
1894,39
1927,39
1893,39
1935,39
1939,38
1880,35
1881,34
1941,34
1888,34
1890,31
1869,31
1861,30
1973,29
1854,28
1944,27
1870,26
1937,25
1845,24
1884,23
1879,23
1875,23
1936,22
1942,22
1915,22
1847,21
1913,20
1886,20
1846,18
1874,17
1887,17
1885,16
1917,16
1877,15
1918,14
2019,14
1872,13
1916,13
1871,13
1878,13
1860,13
1882,12
2010,12
1868,11
2014,10
1862,10
1883,10
2016,10
2018,9
2020,9
1993,9
2021,9
2007,8
2015,8
1865,8
1945,8
1864,7
1974,6
2017,6
1852,6
1863,5
1858,5
1855,5
2013,5
1866,5
1948,4
2009,4
1853,4
1867,4
1844,4
1998,4
1946,4
1976,3
1990,3
2003,3
2008,3
1975,3
1983,3
1970,3
1952,3
1959,3
2012,3
1982,3
1980,3
1836,2
1977,2
1995,2
1971,2
1966,2
1987,2
2005,2
1969,2
1949,2
1957,2
1988,2
1956,2
1947,2
1950,2
1981,2
1843,2
1800,2
1985,2
2000,2
1986,1
1958,1
1978,1
1771,1
2004,1
1972,1
1776,1
1302,1
1300,1
1294,1
1415,1
1417,1
1418,1
1435,1
1439,1
1441,1
1452,1
1484,1
1184,1
2001,1
1996,1
1954,1
1965,1
2006,1
1963,1
1579,1
1807,1
1841,1
2011,1
1838,1
1859,1
1984,1
1828,1
1961,1
1992,1
1819,1
1840,1
1999,1
2022,1
1715,1
